time_key,full_time,hour,minute,second,period,shift
525,00:05:25.0000000,0,5,25,AM,Night
526,00:05:26.0000000,0,5,26,AM,Night
527,00:05:27.0000000,0,5,27,AM,Night
528,00:05:28.0000000,0,5,28,AM,Night
529,00:05:29.0000000,0,5,29,AM,Night
530,00:05:30.0000000,0,5,30,AM,Night
531,00:05:31.0000000,0,5,31,AM,Night
532,00:05:32.0000000,0,5,32,AM,Night
533,00:05:33.0000000,0,5,33,AM,Night
534,00:05:34.0000000,0,5,34,AM,Night
535,00:05:35.0000000,0,5,35,AM,Night
536,00:05:36.0000000,0,5,36,AM,Night
537,00:05:37.0000000,0,5,37,AM,Night
538,00:05:38.0000000,0,5,38,AM,Night
539,00:05:39.0000000,0,5,39,AM,Night
540,00:05:40.0000000,0,5,40,AM,Night
541,00:05:41.0000000,0,5,41,AM,Night
542,00:05:42.0000000,0,5,42,AM,Night
543,00:05:43.0000000,0,5,43,AM,Night
544,00:05:44.0000000,0,5,44,AM,Night
545,00:05:45.0000000,0,5,45,AM,Night
546,00:05:46.0000000,0,5,46,AM,Night
547,00:05:47.0000000,0,5,47,AM,Night
548,00:05:48.0000000,0,5,48,AM,Night
549,00:05:49.0000000,0,5,49,AM,Night
550,00:05:50.0000000,0,5,50,AM,Night
551,00:05:51.0000000,0,5,51,AM,Night
552,00:05:52.0000000,0,5,52,AM,Night
553,00:05:53.0000000,0,5,53,AM,Night
554,00:05:54.0000000,0,5,54,AM,Night
555,00:05:55.0000000,0,5,55,AM,Night
556,00:05:56.0000000,0,5,56,AM,Night
557,00:05:57.0000000,0,5,57,AM,Night
558,00:05:58.0000000,0,5,58,AM,Night
559,00:05:59.0000000,0,5,59,AM,Night
600,00:06:00.0000000,0,6,0,AM,Night
601,00:06:01.0000000,0,6,1,AM,Night
602,00:06:02.0000000,0,6,2,AM,Night
603,00:06:03.0000000,0,6,3,AM,Night
604,00:06:04.0000000,0,6,4,AM,Night
605,00:06:05.0000000,0,6,5,AM,Night
606,00:06:06.0000000,0,6,6,AM,Night
607,00:06:07.0000000,0,6,7,AM,Night
608,00:06:08.0000000,0,6,8,AM,Night
609,00:06:09.0000000,0,6,9,AM,Night
610,00:06:10.0000000,0,6,10,AM,Night
611,00:06:11.0000000,0,6,11,AM,Night
612,00:06:12.0000000,0,6,12,AM,Night
613,00:06:13.0000000,0,6,13,AM,Night
614,00:06:14.0000000,0,6,14,AM,Night
615,00:06:15.0000000,0,6,15,AM,Night
616,00:06:16.0000000,0,6,16,AM,Night
617,00:06:17.0000000,0,6,17,AM,Night
618,00:06:18.0000000,0,6,18,AM,Night
619,00:06:19.0000000,0,6,19,AM,Night
620,00:06:20.0000000,0,6,20,AM,Night
621,00:06:21.0000000,0,6,21,AM,Night
622,00:06:22.0000000,0,6,22,AM,Night
623,00:06:23.0000000,0,6,23,AM,Night
624,00:06:24.0000000,0,6,24,AM,Night
625,00:06:25.0000000,0,6,25,AM,Night
626,00:06:26.0000000,0,6,26,AM,Night
627,00:06:27.0000000,0,6,27,AM,Night
628,00:06:28.0000000,0,6,28,AM,Night
629,00:06:29.0000000,0,6,29,AM,Night
630,00:06:30.0000000,0,6,30,AM,Night
631,00:06:31.0000000,0,6,31,AM,Night
632,00:06:32.0000000,0,6,32,AM,Night
633,00:06:33.0000000,0,6,33,AM,Night
634,00:06:34.0000000,0,6,34,AM,Night
635,00:06:35.0000000,0,6,35,AM,Night
636,00:06:36.0000000,0,6,36,AM,Night
